numbering,type,gender,age,residence,income,edu_lvl,profession,household_size,dri_lic,num_cars,purpose1,purpose2,purpose3,purpose4,purpose5,self_drive,other_drive,pub_trans,bicycle,walking,frequency_travel,planned_travel_time,attraction_type1,attraction_type2,attraction_type3,daily_t,daily_d,exp_lvl,num_phones,if_connected_network,stability_network,daily_phone_use_t,frequency_phone_use,daily_devices_use_t,device_proficiency,value_e_devices1,value_e_devices2,value_e_devices3,value_e_devices4,value_e_devices5,value_e_devices6,value_e_devices7,value_e_devices8,value_e_devices9,value_e_devices10,travel_safety1,travel_safety2,travel_safety3,travel_safety4,travel_safety5,travel_safety6,travel_safety7,sati_lvl,prss_allevi,hlt_impro,ta_envi1,ta_envi2,ta_envi3,ta_envi4,ta_envi5,ta_envi6,r_envi1,r_envi2,r_envi3,r_envi4,r_envi5
25,online,0,3,0,5,4,1,2,1,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,3,4,1,1,3,3,3,2,4,4,5,4,4,4,4,5,4,3,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3
26,online,0,3,0,5,3,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,1,1,5,5,5,2,1,2,2,3,3,4,5,5,5,4,5,5,5,5,2,5,5,5,5,5,4,2,5,4,4,5,5,4,5,5,4,4,4,3,3,5,4
27,online,0,4,1,5,3,1,2,1,2,1,0,0,0,0,1,0,0,0,0,2,2,0,0,1,5,4,5,1,0,3,3,3,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1
28,online,1,3,0,4,4,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,5,5,5,1,1,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,4,5,5,4,3
29,online,0,4,0,4,3,0,3,1,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2,1,5,1,1,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,5,4,4,3,4,4,3,4
30,online,0,4,0,4,4,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,1,5,1,1,3,2,3,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,online,1,2,0,2,4,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,1,3,4,4,2,1,1,3,1,4,3,5,5,5,3,3,3,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,3,3,5,3,3,4,4,5,3,4
32,online,0,3,0,4,4,0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,4,0,0,1,4,1,3,1,1,2,2,2,6,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,2,3,3,3
33,online,0,3,1,3,3,1,2,1,1,0,1,0,0,0,1,0,0,0,0,5,5,1,0,0,5,2,3,1,1,3,4,3,3,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5
34,online,1,2,0,1,4,1,2,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,1,3,4,4,1,1,2,2,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4
35,online,0,2,0,3,4,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,3,0,0,1,5,3,4,1,1,2,3,2,2,4,4,4,4,3,4,4,4,3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,2,3,3,3,3
36,online,0,3,0,4,4,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,3,4,1,1,3,4,3,6,4,5,5,5,5,5,5,5,2,2,5,5,3,3,2,3,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
37,online,1,2,0,1,3,1,2,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,3,1,3,1,0,2,1,1,6,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3
38,online,0,4,0,5,3,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,4,5,2,1,3,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,4,4
39,online,0,4,0,5,3,1,2,1,1,0,1,0,0,0,0,1,0,0,0,1,4,1,0,1,5,5,4,1,1,1,2,1,2,2,4,4,4,4,4,3,4,3,4,3,3,4,3,4,4,3,3,3,3,3,4,4,3,4,3,4,3,2,3,3,3
40,online,1,3,0,4,4,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,3,4,5,1,1,3,4,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41,online,0,2,0,2,3,0,2,1,1,0,0,1,0,0,1,0,0,0,0,2,2,1,1,1,3,2,5,1,1,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
42,online,0,2,0,2,3,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,2,5,1,1,3,2,3,2,4,4,4,4,4,3,3,4,3,3,3,4,4,3,4,4,3,4,4,4,4,5,5,5,5,4,4,2,2,2,2,2
43,online,1,2,0,3,3,1,2,1,3,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,2,3,5,1,1,3,3,3,2,4,4,5,5,3,5,5,5,5,4,5,5,5,5,3,4,3,4,4,5,5,4,4,5,5,5,4,3,4,4,4,4
44,online,1,2,0,4,4,1,2,1,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,2,5,1,0,2,2,1,2,4,3,4,2,1,4,4,4,3,3,3,3,4,4,2,2,2,3,4,4,4,4,4,2,4,4,1,4,3,3,4,4
45,online,1,2,1,1,3,1,2,0,1,0,0,0,1,0,1,0,1,0,1,5,5,0,0,1,3,2,3,1,1,2,3,2,3,4,3,2,4,3,2,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3
46,online,1,2,0,2,3,1,1,0,2,1,0,0,0,0,0,1,1,0,0,1,2,1,0,1,4,5,4,1,1,3,2,2,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4,4,3
47,online,0,2,0,4,4,1,2,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,4,4,5,1,1,3,4,3,6,2,5,5,5,5,5,5,5,3,3,3,1,3,5,3,3,3,3,3,5,5,5,5,5,5,3,1,1,1,1,1,3
48,online,0,2,0,2,4,1,1,1,1,1,0,0,0,0,1,0,1,0,0,2,2,0,0,1,3,3,5,2,1,1,4,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5
49,online,0,2,0,2,3,1,2,1,3,1,0,0,0,0,1,0,0,0,0,2,2,0,1,1,5,5,4,1,1,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,5,3,5,3,4,4,4,4,4,4,5,5,2,4,4,3,2,2,2,3,1
50,online,0,2,0,2,3,1,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,5,5,5,1,1,1,4,3,3,4,5,4,4,4,3,3,3,3,3,3,4,4,4,3,3,3,5,5,2,4,4,4,4,4,4,4,3,3,3,3,3
51,online,1,2,0,4,4,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,3,2,5,2,1,3,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
52,online,0,2,0,2,3,1,3,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,5,5,5,1,1,1,3,3,4,4,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
53,online,0,2,0,2,3,1,2,1,2,1,0,0,0,0,0,1,0,0,0,1,2,1,1,1,5,5,5,1,0,2,3,2,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
54,online,0,2,0,1,3,1,2,1,1,0,0,1,0,0,1,0,0,0,0,1,2,1,1,1,5,5,5,1,1,1,3,1,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,2,4,3,4,3,3,3
55,online,0,3,0,2,2,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,5,1,1,2,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,5
56,online,0,3,0,3,3,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,1,1,4,4,5,2,0,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3
57,online,0,2,0,3,3,0,2,1,1,1,0,0,0,0,1,0,1,0,0,1,3,1,1,1,3,1,4,1,1,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3
58,online,0,2,0,4,3,0,3,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,1,1,5,5,5,2,1,3,3,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
59,online,1,4,0,3,2,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,4,0,1,1,5,4,5,1,1,2,4,3,6,4,4,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
60,online,0,4,0,3,1,1,2,1,2,1,0,0,0,0,0,0,0,1,0,1,4,0,0,1,5,4,5,1,1,3,4,3,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
61,online,0,4,0,5,4,1,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,2,5,5,1,1,3,1,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
62,online,1,3,1,4,3,0,2,1,1,0,1,0,0,0,0,0,0,0,1,5,5,1,0,0,4,1,3,1,0,3,2,3,2,4,5,5,5,3,5,5,5,5,5,4,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5
63,online,1,4,0,2,3,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,4,1,1,1,3,4,3,1,1,3,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4
64,online,0,4,0,3,4,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,2,0,0,1,3,2,5,2,1,2,4,2,2,3,3,3,3,4,3,4,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
65,online,1,4,0,4,3,0,2,1,2,1,0,0,0,0,0,0,1,0,0,1,2,1,1,1,4,5,5,1,1,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
66,online,0,4,0,5,3,0,3,1,2,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,5,2,3,2,0,1,1,1,6,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,5,4,4,5,5,4,4,2,2,2,2,1
67,online,0,4,0,3,3,0,2,1,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,1,3,5,5,1,1,3,2,2,1,4,4,5,5,5,4,3,5,4,4,4,5,4,5,4,4,4,4,4,5,4,5,5,4,5,4,5,4,4,4,4,4
68,online,1,3,0,3,3,1,2,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,3,5,1,1,2,3,3,2,4,5,5,5,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
69,online,0,4,0,4,2,1,2,1,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,4,4,4,2,1,2,2,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
70,online,1,4,0,5,2,1,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,4,3,4,1,1,3,2,2,3,4,4,5,5,4,5,4,5,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
71,online,1,3,0,3,3,1,2,1,2,0,0,0,1,0,0,0,1,0,0,1,4,0,1,0,5,2,5,2,1,2,4,3,6,4,5,5,5,4,4,5,4,4,4,3,4,4,4,4,4,3,4,4,3,3,5,4,4,4,4,4,1,1,2,1,1
72,online,1,3,0,3,3,0,2,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4,3,4,1,1,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
73,online,1,3,0,1,2,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,3,2,3,1,1,2,1,1,2,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,2,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3
74,online,1,4,0,3,3,1,2,1,2,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,3,2,4,1,1,3,2,2,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
75,online,1,3,0,2,3,0,2,1,1,1,0,0,0,0,1,0,0,0,0,1,3,1,1,1,5,5,5,1,1,3,3,2,3,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
76,online,0,4,0,3,3,1,2,1,1,1,0,0,0,0,1,0,0,0,1,1,2,1,1,1,3,1,5,1,1,3,2,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
77,online,1,4,0,4,4,0,3,1,3,1,0,0,0,0,0,1,1,0,0,1,2,0,0,1,4,5,4,1,1,3,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4
78,online,0,4,0,4,4,1,3,1,3,1,0,0,0,0,0,1,1,0,1,1,2,1,1,1,5,4,4,1,1,2,4,3,6,4,4,4,4,3,4,3,4,3,3,2,3,3,4,2,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3
79,online,1,3,0,4,3,0,2,1,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,5,4,5,2,1,2,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,3,4,4,4
80,online,0,4,0,2,2,1,2,0,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,4,4,5,2,1,2,4,3,2,3,4,5,4,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,5
81,online,1,2,0,1,4,1,2,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,2,5,1,1,2,4,3,2,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3
82,online,0,3,0,3,1,1,3,1,1,0,0,0,0,1,1,0,0,0,0,3,2,0,1,1,4,5,5,1,1,2,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5
83,online,1,2,0,1,4,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,4,2,5,1,1,2,4,3,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
84,online,0,2,0,1,4,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,1,4,3,5,1,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
85,online,1,2,1,2,4,1,1,1,1,0,1,0,0,0,1,0,0,0,0,5,2,0,0,1,3,1,5,1,1,3,4,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,4,4
86,online,0,2,0,1,4,1,3,1,0,0,0,1,0,0,0,1,0,0,0,5,2,1,0,0,5,4,4,1,1,2,4,3,6,2,5,5,5,5,5,5,4,5,4,5,5,4,4,4,4,5,4,4,4,5,4,4,3,4,5,4,4,5,4,4,4
87,online,1,2,0,1,4,1,2,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,2,1,4,1,0,1,2,2,2,3,5,4,4,4,4,5,5,4,4,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4
88,online,0,2,1,1,4,1,3,1,0,0,0,1,0,0,0,0,1,0,0,2,2,1,1,1,5,3,5,1,1,2,2,3,1,4,5,5,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5
89,online,0,2,1,1,4,1,2,0,2,0,0,1,0,0,1,0,0,0,0,5,5,1,0,0,1,2,5,2,1,3,2,3,2,3,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,5,5,4,4,4,4,4,4,4,4
90,online,1,2,1,1,4,1,2,1,1,0,0,1,0,0,0,0,1,0,0,2,2,1,1,1,4,2,5,1,1,3,2,2,2,4,5,5,5,4,4,5,5,4,3,4,5,5,5,3,4,3,4,4,4,4,5,5,5,5,5,5,4,4,5,5,4
91,online,0,2,0,1,4,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,2,1,1,1,4,2,5,1,1,3,1,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,3,4,3
92,online,0,2,0,1,4,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,1,5,5,4,1,1,2,3,2,5,4,4,5,4,3,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
93,online,1,2,0,1,4,1,2,1,1,0,0,1,0,0,0,1,0,0,1,1,2,1,0,0,3,4,5,1,1,2,4,2,6,4,4,4,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4
94,online,0,2,0,1,4,1,2,1,0,0,0,1,0,0,0,0,1,0,1,1,4,1,1,1,2,1,4,1,0,2,2,3,6,3,1,5,5,1,1,1,1,5,1,1,5,5,4,5,5,4,3,4,4,5,4,5,4,3,4,5,3,5,4,4,4
95,online,0,3,0,3,4,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4,4,5,1,0,2,4,3,6,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,3,2,3,3,3,3,3,3
96,online,0,2,0,2,4,1,2,1,1,0,0,1,0,0,1,0,0,0,0,2,4,0,0,1,3,4,4,2,1,1,2,1,2,2,2,3,2,2,2,4,4,2,4,4,4,4,4,3,2,4,5,4,4,4,5,4,3,5,4,3,4,4,4,4,4
97,online,1,2,0,2,4,1,3,1,1,0,0,1,0,0,1,0,1,0,1,2,4,0,0,1,5,5,4,1,1,2,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,4,4,4,4,5,5,5
98,online,0,3,0,5,3,0,3,1,1,0,0,1,0,0,1,0,0,0,0,4,4,0,0,1,4,5,5,1,1,3,2,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,1
99,online,0,2,0,1,4,1,3,0,1,0,0,1,0,0,0,1,0,0,0,1,4,0,0,1,5,4,4,2,1,1,2,2,6,4,5,5,3,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100,online,1,2,0,2,4,1,2,1,2,0,0,1,0,0,0,0,1,0,1,1,3,1,0,0,2,1,5,1,1,3,4,3,6,4,5,5,5,5,5,4,5,4,4,5,5,5,5,4,3,3,5,5,4,5,5,5,5,5,4,4,1,2,2,1,1
101,online,0,2,0,1,4,1,2,1,1,0,0,1,0,0,1,0,0,0,0,2,2,1,1,0,5,3,5,1,1,3,3,3,1,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4
102,online,0,2,0,2,3,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,3,5,1,0,3,4,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
